,Reviews
10,amazon prime customer yet often receive package within 2 day promise lately seems like every order late go missing recently given ups tracking even exist ups system also package delivered wrong address last month
11,gave dollars200 gift card sister christmas last year month later let know lost card called amazon customer service expecting help instead told strict policy refund issue gift card clearly tell card used cancel really struggle would steal money like anyway long time loyal customer prime member whole bit anymore
12,found gaming monitor sale locally store within mile well amazon last minute christmas shopping hoping make 13 year old son christmas still able special surprise consider big gift despite single mother currently low income know dollars200 present may seem like huge gift big gift christmas world truly supposed chose use amazon rather drive local store solely offered option sending disguised packaging revealing inside perfect would son know knew would home holiday probably see also could wrap box came try hide bringing home local store wrap etc made sure triple checked chose option stating revealed sent disguised package made purchase honestly felt excited eager see son get christmas day felt proud able make happen low income budget lot anxiety pull point devastation literally bringing tear son came bedroom told package looked like something could christmas said closed eye came get case see needed help getting inside check first peak help tried reassure see box looked like could something bless heart thought sweet trying hard spoil surprise letting know surprise spoiled moment finished sentence immediately knew amazon clearly sent original packaging despite selection send disguised trusting would follow tried help cry helped carry package inside feeling defeated told go ahead open start setting remember big gift christmas day one open reminded fault saw supposed come different happy get monitor course open day early truly ruin christmas feel would better done way paid fulfill expected would allowed surprise spoiled christmas day decision entitled make revealed taken away understand people human technology glitch mistake matter happened cause although certain selected appropriate option careful triple checked prior understanding person reached amazon explain happened hoping kind resolution would least make feel little better circumstance resulting error end going detail happened explaining literally offered refund dollars19 98 reminded item dollars200 corrected actually dollars199 82 dollars200 10 percent refund offer total charge even address correct calculation 10 percent dollars199 82 charge response worse saying sorry leaving mean feel wrong feeling owed compensation due fact paid item included service chose provided basically service/agreement purchased based upon happen therefore refunded given sort compensation option result table turned bet would expected guess amazon disagrees file complaint bbb regarding matter ended closed unresolved unsatisfied customer offered final option resolution dollars35 promo code discount meant would use resolution offer promo discount toward purchase made amazon thus providing additional profit business behalf order even receive alleged resolution offer apology told forget even compare disappointment son christmas due mistake made trusted would uphold end purchase agreement long time loyal customer could even offer fair compensation sincere apology instead solution promo spend money business order even use hope everyone read considering purchasing amazon com llc listed certified authorized seller clearly value customer care hold end term agreement come purchase left losing care make right fall short end take ownership accountability mistake disappointing read full review
13,going ordered anything delete card number information right monitor bank account awhile charge card whether make order got charged full order charged smaller amount order demanded payment reported fraudulent charge
14,purchased item per email received amazon suppose delivered 9 00 pm 31 dec waste entire new year eve waiting called many time customer service 8 30 pm received email text message saying delay delivery called customer service demand speak manager stated file criminal case amazon lying 10 00pm manager called saying order canceled amazon money refunded item damaged hard believe look like said file criminal case item anymore delay damaged also never received text message email notify order canceled thank amazon ruined new year eve
15,awful experience wife ordered couch pandemic sectional sofa excited shipping week ordered amazon lost half left 1/3 sectional sofa 1 week christmas holiday 8 10 week get refund asked ship back price first wow called day half delivered got passed around 6 different agent clueless told wait 3 day fulfillment team would reach resolution 2 week go call ended reaching manufacturer find fulfilling order amazon done nothing pas around resolution compromise besides even swap mistake left high dry response best get upset ask calm use crutch get phone shop somewhere else rallying small business honest fair unlike amazon read full review
16,first started ordering amazon ok lately terrible ordered lot xmas gift well ahead time many come others arrive xmas would thought pandemic might cause every company ordered delivered time item receive lot poor quality advertised broken clothes especially poor quality sized small also found price high thing instance many item saw amazon half price walmart gift box ordered hickory farm dollars55 dollars100 amazon pretty disappointed amazon ordering little anything future also duped signing amazon prime get order faster item shipped free without read full review
17,made several order got bunch stuff free gift card bing mom electric service provider impressed delivery right time early leave item right door send picture item sitting door delivered mus fuss evidently porch pirate nobody called yet say find like delivery service added aggravating factor thick accent and/or crappy phone and/or inclination argue combination thereof frustrating nothing make life easier convenient hope amazon keep good work note item shipped amazon opposed third party seller
18,ordered stroller amazon cyber monday deal stroller 299 week later asked shipping told available want cancel order order item took stroller 100 difference gonna refunded said told ordered two week customer service sent email say cancel order cannot send stroller still listed order turkey nothing customer satisfaction
19,prime member expecting promised ordered christmas gift daughter said 2 day delivery day delivery said end day 8 chatted said 9 suddenly changed status delivery 25 29 really tell u late rush store supposed explain 9 year old waiting christmas morning would amazon also use usps prime delivery get u situation disappointed trying figure christmas eve guy horribl
20,package seem inundated either toxic disinfectant chemical toxic air freshener vocs reek outside inside everything come smell like laundry aisle gotten worse major reason many avoid brick mortar store worry come warehouse
21,amazon listed product ordered dec 15th said would deliver 23rd today 23rd took authorized payment never shipped product 2 year old daughter christmas thank god made order target product hand 4 day count amazon reputable company deliver say yeah money refunded yet probably take couple week thanks amazon
22,prime order supposed came within two day updated driver area sat sat store long never came apartment across street sitting tracked updated said delivery issue stole package told amazon package never came onto truck scanned way atlanta covering behind stole package amazon good source order day christmas order getting package time suppose get need investigate one problem amazon delivery driver want steal customer right amazon
23,used great dropped ball completely take forever refund even almost week receiving return year ago used amazon time even prime many year expensive amazon horrible refund take forever even received item back year ruined christmas lucy never solved problem today could hear understand hardly bad connection still answer never gave compensation problem guy branny never called back promised amazon really gone tube poor customer service addressing problem giving quick refund like past call twice never address problem refund lady care today seek solution fix problem immediately like past sorely disappointed amazon review use company read full review
24,like lot people shopping online amazon number year course past year seen substantial decline customer service lot problem originates third party seller amazon handle part z guarantee customer longer part amazon equation come third party seller problem couple delivery company damage loss theft product amazon becomes part problem lack concern make thing right lack action/concern problem become exponentially worse even deliver 2 gift card ordered time going address time 1 delivered said would normal response way running late meaning lost stolen also order item dec 4 item shipped delivery date dec 14 17 day later still waiting third item returned seller refund issued 6 day later still waiting credit card credited appears amazon holding money collect interest becoming big long run suffer like ebay paypal read full review
25,treated weeping edema thing help control drainage lower leg knee dealing drainage nearly two year stopped seeking another medical opinion john hopkins university hospital baltimore maryland
26,ordered samsung s20 phone arrived time checking phone decided wanted go different phone returned phone within return policy period exact original packaging exact brand new condition received received refund 2 week started following surprise 3 week got email suggesting never received phone box received empty contacted local ups store conducted investigation right away checked camera see item box packaged return etc amazon co operating numerous email phone call keep insisting unless return original item issue refund keep saying returned exactly described policy ups store anything open investigation fraud end work ups understand happened never buy expensive item site good chance get rip control delivery return item amazon simply refund hard earned dollar ok buy small non expensive item stay away anything dollars50 read full review
27,understand middle pandemic amazon year definitely seeing decrease customer satisfaction amazon always gone beyond member lately least 4 order merchandise 90 00 120 00 received due delivery service one case third party seller called attitude mediocre best concerned fulfilling order know hire new employee know least one person felony background hired pandemic starting wonder misplaced order gone home employee sure find waiting order supposed delivered today find left amazon facility dec 10th arrive ups ever arriving today 16th today day supposed delivered called course response know happened try calling back end week item ground swimming pool read full review
28,bought iphone 12 amazon never got delivered amazon customer support help ended tweeting experience using shieldvoc shieldvoc com amplify complaint able get amazon attention get issue resolved
29,great shopping experience right fingertip amazon offer product need may hard find locally shopping made easy convenient time day night customer service great amazon problem question
30,place charged merchandise order request happened every single time ever dealt amazon never business pray go business
31,prime member year loved speed convenience well big brother like receive another dime least mom pop store closed government mandate authorized provider specific service guess several suspicious charge appeared cc labeled amazon disputing w cc company added new card finish christmas shopping couple day later noticed locked account longer access order information amazon service next day received email stating certain order charged back paid account would remain locked order information amazon provided verified authorized charge new card week resolution except customer service rep read script forward note followed one form email day customer service failing address anything specific dispute account remains inaccessible one amazon capable addressing issue specifically treat valued reliable customer punishing first asking question later failing listen answer would solved problem show behemoth care one iota customer enjoy convenience caveat emptor turn coming read full review
32,ordered product amazon sent e mail dec 7 stating get product hand dec 9 get enquire customer care saying tentative timeline know come get tentative timeline product shipped want raise question amazon return product providing u return date date also tentative date accept product even date different policy amazon company different policy customer reg refund amazon never refund money returned product unless call ordered 2 product 2 different order utmost worst quality never work described product description returned warehouse received product amazon displayed message get refund 2 3 day monitoring week receive refund called customer service surprise giving various reason long conversation credited refund careful amazon started cheating customer many way trying provide refund people forget taking advantage please make sure avoid amazon cost try shop person store way cheated read full review
33,membership fee due jan 8 discover card expiration date 2/28/2021 amazon refused use card claim invalid true said could use another card one fine sent threatening email saying prime account would closed according customer service rule 2 month expiration date accept card funny accept purchase customer service terrible hold 3 time totaling half hour pandemic people sick dying amazon know needed ever yet threatening absolutely reason cut account 7 week expiration charge card policy admitted new updated card sent month expiration asking impossible know new card time update avoid cutoff many others told email computer generated board manager thought might fun add stress customer horrific time many shame amazon read full review
34,amazon agree say product reviewed banned making future review censorship left wing nut job proof screenshot message sent safe say long time customer cancel membership never buy another thing amazon ever
35,loyal amazon customer year summer hacked unauthorized user tried place purchase well requested large amount refund item ordered reported happened three time time reported third time customer service person told open new account new email old account would closed contacted amazon placing order christmas present told account suspended linked another account suspended violating term explained one violated hacked etc instructed amazon employee open new account nobody dept would call emailed repeating information basically stated matter hacked multiple time matter thing violated term still banned amazon shopping year problem get hacked multiple time get deal consequence dealing amazon hacking change email password eleven time 2 mths hacked many time trying figure hacker accessing account information get new debit card course amazon ban horrible response customer whose account fraudulently used hacked amazon whatever hacker account come back customer amazon view customer dollar sign people read full review
36,placed order amazon dec 3rd wanted quick paid extra five dollar next day delivery well sent email telling might three day till arrives also answer email unprofessional shopping
37,moved new apartment ordered furniture month advance delivered time couch living room item got time late 2 hour currently waiting bed foundation 3 month damaged foundation truck kept rescheduling delivery 4 time day call tell u still waiting even call tell u truck rescheduled another week upsetting cautious ordering form
38,amazon fresh woodland hill nicely laid store found price store compared purchasing online slightly better store clean organized however half people shopping completing amazon fresh order placed online delivery pick common produce item fruit restocked appeared available online purchase suspect get back bring quality food good variety product awesome prepared food section buy hot prepared meal pizza chicken even saw sushi section well prepared meal refrigerated quick warm eat
39,package lost needed business tell customer incident using amazon business anymore p pay amazon prime month faithfully
40,perused internet search relevant experience one describe came empty christmas shopping amazon particularly masochistic endeavor budget best track seriously need examine internal accounting practice streamline payment tracking customer current method nothing short tangled nightmare point sale billing foreign concept swear
41,bought 3rd party seller amazon course worst panasonic handset ever bought 1 handset died right call even though lot charge 2 alarm go time 3 charge 7 hour notification go time live defective product despite reason claimed seller good new electronics 30 day denied refund amazon claimed triggered seller issued 1/2 refund 50 percent restocking fee amazing 50 percent restocking fee renewed item possible amazon marketplace online reputable ecommerce marketplace fall criminal category know shame equally disgraceful amazon handled situation amazon handled issue carelessly amazon follow policy buyer/consumer suck promotional money kinda store credit regular refund bank institution conclusion dry business amazon slowly placed review amazon com suppressed consumer see amazon website everything filtered rosy time true picture disclosed read full review
42,ordered laptop amazon unfortunately delivered wrong model said need send back u need pay courier service get amount courier refunded promised u calling since 1 month never come back solution proper refund agent told u get back u nobody kind service cheating people like crazy like give u credit note sure want make money like sure purpose make money company absolutely disaster banned forever careful better order company cheat want return something
43,bought item well described website wanted return refused issue refund option credit first probably last purchase company also leave parcel home outside unattended much prefer company us canada post impressed
44,negative experience lately getting tired first past cancel order amazon messed bad second product fail came apart wore third made order product never received product money product taken account though reported failed transaction amazon said made inquiry third party got reply dropped complaint amazon cost nearly dollars100 dollar refuse help correct issue
45,recently faced issue return two item dropped amazon locker week ago normally would received electronic notification item received amazon locker however time receive notification suspected unusual contacted amazon customer service online chat next day however agent assured problem return process updated encouraged wait day noticed update return amazon account contacted amazon support online chat today surprisingly agent told receipt amazon locker able claim refund got surprised since first agent tell last time actually concern week amazon locker send electronic receipt usual addressed first agent also talked supervisor second agent today explained issue said able anything receipt even willing track check happened item amazon locker offered refund normally would expect least one two offered customer service otherwise poor service guy rethink decided would cancel prime membership since receiving customer support deserve also want keep losing money mistake amazon employee make apparently amazon take zero responsibility read full review
46,july ordered smartwatch apparently came defective travel another country gave gift working contacted amazon said refund unless sent back amazon fine also paid postage said would get refund well contacted amazon 3 time get refund item 4 month gave refund still gotten money postage back every time spent 30 min explaining chatting online 5 gbp embarrassing expected better treatment world best company
47,recently purchased cell phone amazon seller bewinner received phone realized work country diagram insert sim card opposite say description return approved 30 day later check return never issued checked tracking number package never claimed reason want back dollars116 phone dollars25 send package back amazon nothing want spend money send phone back stop want see something interesting go scam seller com enter bewinner site keep track fraudulent seller amazon bewinner 172 complaint say amazon knew money precious waste take chance go elsewhere
48,placed multiple order company kid christmas year live townhome open view others steal pkg left front door seen constantly advise place order certain area visible someone take get alert amazon get home running store pkgs gone one delivery state handed customer hell handed customer home handed checked neighbor see anything speak amazon tell help refund anything hell mess pay money get anything back wow
49,last 6 month amazon terrible wonderful customer service suck today problem delivery person southwest florida throw package ruined garden enclosed screened front porch delivery people lazy called made complaint 5 6 time throwing said sorry would reimburse garden sent picture well 4 month ago nothing tuesday lost account told specialist would call within 24 hour help well guessed call 48 hour later done poor customer service nothing response amazon suck
50,prime customer many year 2 week ago placed order 21 00 hour later received notification bank 3 addtl charge told fraudulent contacted amazon cancelled order never delivered saturday received 3 email requesting payment order responded order fraudulent cancelled owe received additional email called spent 45 min someone tell resolved today unable get account locked contacted supv customer service help say may take 30 day resolve allowed someone hack account make purchase relief never shop amazon
51,several package delivered wrong address go searching based photo provided recent purchase two item delivered neighbor across street went look package unable contact neighbor likely stolen open near sidewalk house number placed three different area house driver either paying attention cannot read care wait day resolution product bought delivered wrong address even customer service representative could see delivered wrong address amazon need something unreliable driver
52,disgusted amazon customer service faithful customer amazon prime member ten year made thousand dollar purchase throughout year recently purchased refurbished macbook air returned within return window waiting week refund tracking item ensure delivered contacted amazon customer care informed call back wait five business day waiting five business day called told item scanned wrong apologized would receive 900 00 within three five day later day received another email stating returned different computer would receive refund correct item returned shocked called back spoke supervisor said return center closed refund request sending request investigation would take another 3 5 day asked verify serial number picture said usually dispose item flabergasted waited five day hear anything contacted time spoke someone investigation team stated read note issue refund return correct item asked return laptop said disposed contacted bank investigation apple said track laptop need serial number amazon provide beware returning pricey item company disgusting considering multi billion dollar company take picture record relevant information film drop returning item postal centre record due refund since beginning november received cent meanwhile computer money someone stole return centre read full review
53,amazon looking lil soup baby usually 1dollars little cup dollars9 99 found box 9 store sometimes sale amazon 8 77dollars keep watching found box 18 lil cup dollars97 45
54,using amazon past 3 year prime get order within 48 hour great however found stuff expensive store negative review accepted review misleading simply accept negative review therefore use service anymore
55,used amazon year always good luck past month promising checkout page delivery item 1 2 day never happens last 4 5 month whatever date give checkout item always least 2 3 day later often 5 day know covid volume etc etc ask little honesty realism look record see almost order including prime really taking 4 6 day delivery especially thru usps ups keep telling customer delivery 1 2 day honest data show true better promise perform sooner later someone going parler twitter point walmart others reliably accurate delivery date amazon
56,amazon offer poor customer service ordered generator website amazon indicated product shipped warehouse sent email stated item stock please return idea supposed return item never received although contacted amazon refused anything order one 3rd party seller seller provide product charge credit card spending day fighting seller finally receive email stating refund cancelled idea refund issue cancelled sure order cancelled refund issued amazon need help resolve issue instead nothing
57,waiting almost month delivery item ordered received notice delivered package supposedly delivered front random door mine trying straighten fiasco nightmare random computer asking calling order item never placed system transfer random people sound like first day trainee write order number digit number like address correct order bright side able get refund hopefully actually happens cancel amazon prime waste typical service shopping amazon anymore
58,check price noticed amazon raise price thing purchasing noticed 1 item guess think keep pointed others also 1st noticed item started buying amazon cheaper local store purchasing couple time noticed price kept going went back purchasing locally cheaper amazon trying get purchase seem get cheaper price keep raising price believe item save later also going purchase item saved later cost quick google search found local store cheaper beware price check assume amazon cheaper price
59,customer amazon long time repeatedly customer service representative lied time bought comforter dollars99 28 returned product tracking refund state receive refund within 7 day u receiving product called seventh day told money refunded bank account yet day later nothing call say refunded going refund back amazon gift card account saying phone call drop called back say know talking ability refund money say gonna write form escalate right department said transfer call department ability ability needed blanket bought one sent even paid send back buy another one give money back big company talk stuff good lie customer buyer beware read full review
60,used amazon quite bit love streaming service amazon decent customer retention department overall experience shipping policy gone window seller held account amazon enforce seller ethical policy would rather lose customer browbeat cyberstalking tracking technique actually try correct shipping issue seller responsibility conduct previously enjoyed company use walmart com newegg com hulu netflix
61,disabled said would pick big heavy electric mop ordered didnt work said twice would collected wasnt said even come collect hour message back forth trying sort cancelled prime account deserve money
62,another greedy multinational finding way increase bottom line charged prime membership without authorization credit card called instead cancelling told would wonder much money bezos need
63,ordered trimmer amazon advanced payment material delivered shown delivered made compliant amazon team ignored talked rudely amazon taken seriously customer problem think enough customer hence care customer complaint trust amazon completely fraud company
64,customer service better long ago repeat say help say prevent happening future garbage
65,purchased patio furniture amazon knowing 3rd party seller ordered august 16 2020 received 1 box 3 august 29 2020 received box contacted amazon customer service problem suggested z claim amazon still corrected issue still dollars777 00 say z claim receive full refund 3rd party seller flat lie keep saying still review 2 month way contacting excuse penalize 3rd party seller refuse yet one penalize one money take shopping walmart online shopping cheap free shipping subscription better customer service amazon even let post review 3rd party seller buyer beware
66,placed 1st order today cause heard deliver free let spend food stamp literally everything cart food item eligible yogurt definitely eligible would store even still everything else charged ebt card fraudulently charged debit card dispute charge bank shop elsewhere since customer service nothing
67,amazon provides little nothing free shipping prime member let start amazon tv anything really worth watching going cost rental fee rest movie rated everyone brag day shipping next day shipping fact unless live big city wont get day even next day prime 6 year 40 percent time package show supposed never day paid extra next day shipping actually took longer shipper actually ship package 3 day since ship next day 3 day fact amazon nothing review mostly fake amazon protective seller bad experience better write detailed acct leave word might get flagged even amazon likely delete negative review road customer complains enough return policy pretty good ebay much better fact since amazon gotten popular purchase ebay free shipping expedited shipping win customer biggest plus ebay seller try give money live feedback score ebay sensor feedback like amazon read full review
68,someone stole bank info amazon account order good found immediately tried contact amazon many time avoid money gone bank keep saying need contact bank many email phone call protect data money end could account blocking nothing long story short insecurity could use amazon account anymore ask delete account 2 week keep dragging action deleting account /data sending confirmation cancelation lucky enough use amazon without problem would nice however problem like hacking situation really miserable protected
69,ordered four water geyser received three raise complaint amazon customer support team assured give resolution 5 day 5 day received call amazon said completed inspection found sent 4 geyser resolution got order
70,recently bought laptop amazon availing exchange offer older laptop exchange form asks laptop manufacturer model cpu information attestation laptop normal working condition day delivery exchange rejected delivery agent stating laptop damaged inquiring technically satisfactory answer nature damage laptop working perfectly fine amazon send qualified agent verify device condition rejected delivery answer whatsoever beware use amazon exchange offer qualified personnel inspect device reject delivery using excuse
71,know going amazon past month three return never got refund noticed one inexpensive item accident started looking two surprise zero refund one item almost dollars200 call waste time really wonder many time happened many sucker fraud bad bad business
72,chase card hold amazon visa card cash benefit provides money credit back everything purchase provided great benefit
73,love amazon easily let return whether size happy sneaker bought reebok nike never issue
74,purchased home water filtration system price dropped day purchase amazon nothing purchased 10/4 happened look online 10/14 found price dropped 25 00 prime member contacted amazon absolutely nothing disappointed amazon product used enough review amazon
75,amazon right delete honest review illegal ban honest review said federal trade commission review bad word graphical honest decent review nothing bad
76,business beverly hill home los angeles simple far yes want order prime whole food delivery order delivered home address los angeles going sequence step even starting specifying correct delivery address app selecting food wrong whole food store beverly hill typically understocked sending highly substituted order office address beverly hill instead home selection link presented change address show beverly hill address instead number address know amazon wasted hour point trying make home delivery order order save time instead wasted 2 hour talked 2 people help referred wrong number online chat another individual help also gave wrong number go believe amazon online way one sophisticated digital system planet completely lame prime whole food delivery appreciate whole food category covid 19 inclination actually drive enter store shop hope communication make way someone correct absurd shortcoming prime fresh prime whole food read full review
77,ordered noise noisefit evolve full touch control smart watch amoled display received box weight 180g claim empty box 160g removing amazon cover watch weight 40g charger weight 60g total weight box watch around 280 amazon claiming received 180g seller delivered packed condition amazon taking responsibility check weight delivered empty box box watch
78,amazon pr amazon com email reach need submit complaint even though agent spoke told thing account locked 15 day ago went process submitting paperwork amazon asked even called customer service desk monday 8/3/20 agent helped explained situation submitted form form submitted told account specialist would reach within 24 hour waited 24 hour got call email account specialist part game playing last four day call agent submit form tell wait 24 hour called yesterday agent spoke tell wait monday might hear something back specialist point frustrated requested speak supervisor spoke briefly supervisor told escalating call phone 50 minute either call dropped hung called back spoke another agent 20 minute hung called back third time finally able speak supervisor knowledgeable situation took time explain agent continued number one tell someone would call within 24 hour right taking longer usual number 2 never kept submitting form every time lose place online basically helpful understanding frustrating part spent close 5 hour phone trying resolve issue spend much time trying figure problem point done like told supervisor done want account back longer want use amazon music went back spotify yesterday even want prime member anymore thing asking refund movie purchased amazon account bother trying unlock account longer want point maybe anyone spoke upfront wait time would different fact kept telling call back everyday kept giving run around really pissed common answer got agent except susana supervisor spoke last nothing really annoyed like mentioned want account back point want refund movie purchased prime account receipt email purchase made also 5 dollar gift card account longer want reach give resolution would great longer want wish keep calling everyday every day hear thing agent letting know nothing read full review
79,used trust amazon lately customer service gone way downhill afraid purchase shoe fit right much hassle try replace
80,love amazon shop time unfortunately longer spending money today driving work morning one great devoted driver say going 70mph 45 needed get order turn nearly slammed even though supposedly turning proceeded cuss opened car door threatened fight even though well 5 month pregnant even though employee may rude woman longer feel comfortable putting hard earned money company paying someone like
81,amazon prime membership shipping always free return shoe usually free buy shoe seem right fit send back postpaid label
82,amazon account year sure would nice beneficial know exactly review supposed unusual supposed problem even written review month probably even remember last time wrote review product review go approval process amazon even posted live amazon suspicious /or unusual review red flagged kicked back initial approval process entire supposedly suspicious unusual review blocking account seems suspicious year buying leaving review zero problem amazon boom suddenly blocked explanation amazon even bother notify left unbiased review free discounted product offer seller included offer/promotional card label product product ordered however always disclosed information review lot buyer done product review left review matter offered offered always true unbiased rely honest accurate unbiased review customer product purchased amazon would never leave false untrue biased inaccurate review never already many false fake biased review product /or scammer seller amazon another reason disclose review write seller solicited write review feel somewhat unethical fact leave critical review product several offering right reviewed allowed amazon amazon penalize block seller account able sell product amazon buyer/customer penalized seen much customer review year obviously t/isn problem review visible removed blocked amazon seems like 80 percent everything purchased past year come sort solicitation included seller problem buyer problem buyer zero control seller includes product shipped would amazon blocking buyer one thing found would like bring everyone attention looked every single product received solicitation card product solicitation directly product still solicitation info fulfilled shipped directly from/by amazon amazon policy would seem amazon need get house order stop penalizing paying customer solicitation material amazon employee putting product package shipping canceled prime account amazon subscription placing order amazon sure amazon want business relationship sudden suspicious unusual buyer read full review
